wavelength,response
374.41,0.01
389.16,0.02
403.27,0.04
414.97,0.07
422.21,0.12
427.76,0.16
431.98,0.20
435.38,0.25
437.82,0.30
439.99,0.34
442.03,0.39
443.80,0.43
445.49,0.48
447.21,0.53
448.81,0.57
450.36,0.62
451.90,0.66
453.73,0.71
455.71,0.76
457.84,0.80
460.48,0.85
463.27,0.89
467.14,0.94
474.27,0.98
482.10,0.98
489.24,0.94
493.60,0.89
497.12,0.84
500.19,0.79
503.19,0.75
506.07,0.70
508.72,0.65
511.36,0.60
514.07,0.55
516.76,0.50
519.52,0.46
522.47,0.41
525.25,0.36
528.23,0.31
531.35,0.27
534.75,0.22
538.69,0.17
543.50,0.12
549.53,0.08
558.46,0.04
